Group12,Group2,Group3,Group4,Group5,NoTrans,Quantity,GrossValue,NettValue,DiscountValue,AvgTransValue
1001400001,01 Edinburgh,,,,1,1,4.01,4.01,0.00,4.01
1001400001,01 Edinburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,01 Edinburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,01 Edinburgh,,,,1,1,4.01,4.01,0.00,4.01
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-1.20,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,01 Edinburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,02 North Berwick,,,,1,1,5.99,5.99,0.00,5.99
1001400001,02 North Berwick,,,,1,0,0.00,0.00,-1.98,0.00
1001400001,02 North Berwick,,,,1,1,5.99,4.01,0.00,4.01
1001400001,02 North Berwick,,,,1,1,5.99,5.99,0.00,5.99
1001400001,03 Falkirk,,,,1,1,5.99,5.99,0.00,5.99
1001400001,03 Falkirk,,,,1,1,5.99,5.99,0.00,5.99
1001400001,03 Falkirk,,,,1,1,5.99,5.99,0.00,5.99
1001400001,03 Falkirk,,,,1,1,5.99,1.98,0.00,1.98
1001400001,03 Falkirk,,,,1,1,5.99,5.00,0.00,5.00
1001400001,03 Falkirk,,,,1,1,5.99,5.00,0.00,5.00
1001400001,03 Falkirk,,,,1,1,5.99,5.00,0.00,5.00
1001400001,03 Falkirk,,,,1,1,5.99,5.00,0.00,5.00
1001400001,03 Falkirk,,,,1,1,5.99,5.00,0.00,5.00
1001400001,03 Falkirk,,,,1,1,5.99,5.00,0.00,5.00
1001400001,03 Falkirk,,,,1,1,5.99,5.99,0.00,5.99
1001400001,03 Falkirk,,,,1,1,5.99,4.01,0.00,4.01
1001400001,03 Falkirk,,,,1,0,0.00,0.00,-4.01,0.00
1001400001,03 Falkirk,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,03 Falkirk,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,03 Falkirk,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,03 Falkirk,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,03 Falkirk,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,03 Falkirk,,,,1,0,0.00,0.00,-0.99,0.00
1001400001,03 Falkirk,,,,1,0,0.00,0.00,-1.98,0.00
1001400001,04 Helensburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,04 Helensburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,04 Helensburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,04 Helensburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,04 Helensburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,04 Helensburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,04 Helensburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,04 Helensburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,04 Helensburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,04 Helensburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,04 Helensburgh,,,,1,1,5.99,5.99,0.00,5.99
1001400001,05 Kirkcaldy,,,,1,1,5.99,5.00,0.00,5.00
1001400001,05 Kirkcaldy,,,,1,1,5.99,4.55,0.00,4.55
1001400001,05 Kirkcaldy,,,,1,1,5.99,5.99,0.00,5.99
1001400001,05 Kirkcaldy,,,,1,1,5.99,5.00,0.00,5.00
1001400001,05 Kirkcaldy,,,,1,1,5.99,4.55,0.00,4.55
1001400001,05 Kirkcaldy,,,,1,1,5.99,5.99,0.00,5.99
1001400001,05 Kirkcaldy,,,,1,1,5.99,5.99,0.00,5.99
1001400001,05 Kirkcaldy,,,,1,1,5.99,5.99,0.00,5.99
1001400001,05 Kirkcaldy,,,,1,1,5.99,5.99,0.00,5.99
1001400001,05 Kirkcaldy,,,,1,1,5.99,5.99,0.00,5.99
1001400001,05 Kirkcaldy,,,,1,1,5.99,5.99,0.00,5.99
1001400001,05 Kirkcaldy,,,,1,1,5.99,5.00,0.00,5.00
1001400001,05 Kirkcaldy,,,,1,1,5.99,5.00,0.00,5.00
1001400001,05 Kirkcaldy,,,,1,1,5.00,5.00,0.00,5.00
1001400001,05 Kirkcaldy,,,,1,1,5.99,5.99,0.00,5.99
1001400001,05 Kirkcaldy,,,,1,1,5.99,5.99,0.00,5.99
1001400001,05 Kirkcaldy,,,,1,1,5.00,5.00,0.00,5.00
