"ItemCode","AlternateItemCode","StyleCode","ProductType","Description","SubDescription","Measure","TillDescription","SuspendDate","DepartmentCode","SectionCode","SubSectionCode","ModelCode","SupplierCode","SupplierReference","LeadTime","DirectDelivery","PrimaryBarcode","VATCode","SellingPrice","RRP","SalesDiscountAllowed","PackSize","PackCostCurrency","LastUnitCost","DefaultSalePrice","CarriageCost","NormalPrice","OriginalSellingPrice","LinkedItemGroup1","LinkedItemGroup2","CatalogStyle","Itemised","CaptureSerialNumber","RollWidth","DoNotAllocate","DateSensitive","DeliveryVanUnits","PurchaserAddressRequired","CommissionCode","CubicCapacity","NumberOfSeats","Commodity","Archive","AttributeGroup 1","AttributeCode 1","RangeCode1","RangeDetail1","RangeCode2","RangeDetail2","RangeCode3","RangeDetail3","Specification 1","Specification 2","Specification 3","Specification 4","Specification 5","Specification 6","Specification 7","Specification 8","Specification 9","Specification 10"
1000830015,"1000830015","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Beige/XL","QUANTITY","98972 BEIGE\XL",,"1","4","141",,"80955","1819243",30,"N","5017414113979",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Beige","SIZE ","XL",,,,,,,,,,,,
1000830016,"1000830016","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Lt Blue/XL","QUANTITY","98972 LTBLUE\XL",,"1","4","141",,"80955","2058535",30,"N","5017414071347",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Lt Blue","SIZE ","XL",,,,,,,,,,,,
1000830017,"1000830017","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Lt Grey/4","QUANTITY","98972 LTGREY\4",,"1","4","141",,"80955","2194318",30,"N","2194318",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Lt Grey","SIZE ","4",,,,,,,,,,,,
1000830018,"1000830018","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Purple/4","QUANTITY","98972 PURPLE\4",,"1","4","141",,"80955","2194356",30,"N","2194356",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Purple","SIZE ","4",,,,,,,,,,,,
1000830019,"1000830019","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Lt Grey/5","QUANTITY","98972 LTGREY\5",,"1","4","141",,"80955","2194325",30,"N","2194325",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Lt Grey","SIZE ","5",,,,,,,,,,,,
1000830020,"1000830020","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Purple/5","QUANTITY","98972 PURPLE\5",,"1","4","141",,"80955","2194363",30,"N","2194363",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Purple","SIZE ","5",,,,,,,,,,,,
1000830021,"1000830021","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Lt Grey/6","QUANTITY","98972 LTGREY\6",,"1","4","141",,"80955","2194332",30,"N","2194332",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Lt Grey","SIZE ","6",,,,,,,,,,,,
1000830022,"1000830022","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Purple/6","QUANTITY","98972 PURPLE\6",,"1","4","141",,"80955","2194370",30,"N","2194370",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Purple","SIZE ","6",,,,,,,,,,,,
1000830023,"1000830023","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Lt Grey/7","QUANTITY","98972 LTGREY\7",,"1","4","141",,"80955","2194349",30,"N","2194349",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Lt Grey","SIZE ","7",,,,,,,,,,,,
1000830024,"1000830024","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Purple/7","QUANTITY","98972 PURPLE\7",,"1","4","141",,"80955","2194387",30,"N","2194387",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Purple","SIZE ","7",,,,,,,,,,,,
1000830025,"1000830025","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Navy/S","QUANTITY","98972 NAVY\S",,"1","4","141",,"80955","1714579",30,"N","5017414694546",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Navy","SIZE ","S",,,,,,,,,,,,
1000830026,"1000830026","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Coral/XL","QUANTITY","98972 CORAL\XL",,"1","4","141",,"80955","1953619",30,"N","5017414022967",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Coral","SIZE ","XL",,,,,,,,,,,,
1000830027,"1000830027","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Lt Blue/M","QUANTITY","98972 LTBLUE\M",,"1","4","141",,"80955","2058511",30,"N","5017414071323",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Lt Blue","SIZE ","M",,,,,,,,,,,,
1000830028,"1000830028","100083","UNIT","98972 PILLOWSTEP POPCORN BALLET","Navy/XL","QUANTITY","98972 NAVY\XL",,"1","4","141",,"80955","1714609",30,"N","5017414694577",1,18.00,,"Y",1.00,7.5000,7.5000,18.00,0.00,18.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Navy","SIZE ","XL",,,,,,,,,,,,
1000840001,"1000840001","100084","UNIT","97622 VELOUR BALLET W POMPOM","BLCheck/S","QUANTITY","97622 Velour Ballet W Pompom BLCheck/S",,"1","4","141",,"80955","1953824",30,"N","5017414023490",1,22.00,,"Y",1.00,9.1700,9.1700,22.00,0.00,22.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","BLCheck","SIZE ","S",,,,,,,,,,,,
1000840002,"1000840002","100084","UNIT","97622 VELOUR BALLET W POMPOM","BLCheck/M","QUANTITY","97622 Velour Ballet W Pompom BLCheck/M",,"1","4","141",,"80955","1953831",30,"N","5017414023506",1,22.00,,"Y",1.00,9.1700,9.1700,22.00,0.00,22.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","BLCheck","SIZE ","M",,,,,,,,,,,,
1000840003,"1000840003","100084","UNIT","97622 VELOUR BALLET W POMPOM","BLCheck/L","QUANTITY","97622 BLCHECK\L",,"1","4","141",,"80955","1953848",30,"N","5017414023513",1,22.00,,"Y",1.00,9.1700,9.1700,22.00,0.00,22.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","BLCheck","SIZE ","L",,,,,,,,,,,,
1000840004,"1000840004","100084","UNIT","97622 VELOUR BALLET W POMPOM","BLCheck/XL","QUANTITY","97622 BLCHECK\XL",,"1","4","141",,"80955","1953855",30,"N","5017414023520",1,22.00,,"Y",1.00,9.1700,9.1700,22.00,0.00,22.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","BLCheck","SIZE ","XL",,,,,,,,,,,,
1000840005,"1000840005","100084","UNIT","97622 VELOUR BALLET W POMPOM","BLCheck/4","QUANTITY","97622 BLCHECK\4",,"1","4","141",,"80955","2194394",30,"N","12194400",1,22.00,,"Y",1.00,9.1700,9.1700,22.00,0.00,22.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","BLCheck","SIZE ","4",,,,,,,,,,,,
1000840006,"1000840006","100084","UNIT","97622 VELOUR BALLET W POMPOM","BLCheck/5","QUANTITY","97622 BLCHECK\5",,"1","4","141",,"80955","2194400",30,"N","22194400",1,22.00,,"Y",1.00,9.1700,9.1700,22.00,0.00,22.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","BLCheck","SIZE ","5",,,,,,,,,,,,
1000840007,"1000840007","100084","UNIT","97622 VELOUR BALLET W POMPOM","BLCheck/6","QUANTITY","97622 BLCHECK\6",,"1","4","141",,"80955","2194417",30,"N","32194400",1,22.00,,"Y",1.00,9.1700,9.1700,22.00,0.00,22.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","BLCheck","SIZE ","6",,,,,,,,,,,,
1000840008,"1000840008","100084","UNIT","97622 VELOUR BALLET W POMPOM","BLCheck/7","QUANTITY","97622 BLCHECK\7",,"1","4","141",,"80955","2194424",30,"N","92194400",1,22.00,,"Y",1.00,9.1700,9.1700,22.00,0.00,22.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","BLCheck","SIZE ","7",,,,,,,,,,,,
1000840009,"1000840009","100084","UNIT","97622 VELOUR BALLET W POMPOM","Black/S","QUANTITY","97622 BLACK\S",,"1","4","141",,"80955","1953787",30,"N","5017414023452",1,22.00,,"Y",1.00,9.1700,9.1700,22.00,0.00,22.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Black","SIZE ","S",,,,,,,,,,,,
1000840010,"1000840010","100084","UNIT","97622 VELOUR BALLET W POMPOM","Purple/M","QUANTITY","97622 PURPLE\M",,"1","4","141",,"80955","1714302",30,"N","5017414110763",1,22.00,,"Y",1.00,9.1700,9.1700,22.00,0.00,22.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Purple","SIZE ","M",,,,,,,,,,,,
1000840011,"1000840011","100084","UNIT","97622 VELOUR BALLET W POMPOM","Black/L","QUANTITY","97622 BLACK\L",,"1","4","141",,"80955","1953800",30,"N","5017414023476",1,22.00,,"Y",1.00,9.1700,9.1700,22.00,0.00,22.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Black","SIZE ","L",,,,,,,,,,,,
1000850001,"1000850001","100085","UNIT","95516 PILLOWSTEP POPCORN MULE","Ltgrey/4","QUANTITY","95516 Pillowstep Popcorn Mule Ltgrey/4",,"1","4","141",,"80955","1953626",30,"N","5017414112101",1,20.00,,"Y",1.00,8.3300,8.3300,20.00,0.00,20.00,0.00,,,"N","N","N",,"N","N",1,"N",,"0.00","0.00",,,,,"COLOUR","Ltgrey","SIZE ","4",,,,,,,,,,,,
